7.158802328178124341e-01 2.016053211007940860e+01 1.045773139654355699e+00 6.030922128122370829e+00
7.258493474557839997e-01 2.020347938545278765e+01 1.016399481196347931e+00 6.111310187366145286e+00
7.358184620937554543e-01 2.024554001582337293e+01 9.869235018276991678e-01 6.133406834353411163e+00
7.457875767317269089e-01 2.028638459579914866e+01 9.577667730432160020e-01 6.051705513321568475e+00
7.557566913696984745e-01 2.032542878451137724e+01 9.294297064512209161e-01 5.859451813161068223e+00
7.657258060076699291e-01 2.036223014991557179e+01 9.019965061609853674e-01 5.618800966000836006e+00
7.756949206456413837e-01 2.039677821216320197e+01 8.751175988364845448e-01 5.388651916198732295e+00
7.856640352836128383e-01 2.042936176129416381e+01 8.485076153887014527e-01 5.192270762854350075e+00
7.956331499215844039e-01 2.046017541193782563e+01 8.226979471195451366e-01 5.016553998226951805e+00
8.056022645595558584e-01 2.048925285340430946e+01 7.981998462302450914e-01 4.860264178334401386e+00
8.155713791975274241e-01 2.051690772570384880e+01 7.748695686226998447e-01 4.764332797664677877e+00
8.255404938354988786e-01 2.054370537798371998e+01 7.519110918933791243e-01 4.750930615665059698e+00
8.355096084734703332e-01 2.056980842834821033e+01 7.293445751797756893e-01 4.769001635302227982e+00
8.454787231114417878e-01 2.059491139656126180e+01 7.072884620844313019e-01 4.802528600693217520e+00
8.554478377494133534e-01 2.061886836492845632e+01 6.859377107904260917e-01 4.884343768218571746e+00
8.654169523873848080e-01 2.064178458352298762e+01 6.652091028354694124e-01 5.023861503767208525e+00
8.753860670253563736e-01 2.066353115737326007e+01 6.455451652348486169e-01 5.171167829236116731e+00
8.853551816633278282e-01 2.068400522756762427e+01 6.264530908063606907e-01 5.383684808000610111e+00
8.953242963012992828e-01 2.070336519040272449e+01 6.089615620521462436e-01 5.745837665553417573e+00
9.052934109392708484e-01 2.072206600662320142e+01 5.924821134507860521e-01 6.434622519940167429e+00
9.152625255772423030e-01 2.074059718713169431e+01 5.778571094457111146e-01 7.498812751803213494e+00
9.252316402152138686e-01 2.075924009526497116e+01 5.635442174781801761e-01 9.010053895658467482e+00
9.352007548531853232e-01 2.077751414591529766e+01 5.527343442850426447e-01 1.074446603644012477e+01
9.451698694911567777e-01 2.079505465839062595e+01 5.436795469023023575e-01 1.333214786587256739e+01
9.551389841291282323e-01 2.081214252935377829e+01 5.411472448240817190e-01 1.765696466411788634e+01
9.651080987670997979e-01 2.082999884547790970e+01 5.405355291404890794e-01 2.734619296810445377e+01
9.750772134050712525e-01 2.084918644166287294e+01 5.519974676617335207e-01 4.605138239246219456e+01
9.850463280430428181e-01 2.086939209233993253e+01 5.693304745892661112e-01 9.058865815953362244e+01
9.950154426810142727e-01 2.088448885036375913e+01 5.997787437282861012e-01 1.299800142331264396e+02
